REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,12,17,679587,0.901700,0.053000
2,2,5,658295,0.873400,0.104400
3,5,6,633543,0.840600,0.153900
4,4,1,631945,0.838500,0.203200
5,8,10,616361,0.817800,0.251300
6,3,2,608118,0.806900,0.298800
7,1,4,575402,0.763500,0.343700
8,9,3,513805,0.681700,0.383800
9,15,14,496577,0.658900,0.422500
10,16,13,458501,0.608400,0.458300
11,6,9,454052,0.602400,0.493800
12,17,12,451693,0.599300,0.529000
13,13,15,449972,0.597000,0.564100
14,11,16,427449,0.567200,0.597500
15,10,8,361987,0.480300,0.625700
16,7,7,354682,0.470600,0.653400
17,11,8,318575,0.422700,0.678300
18,14,12,303086,0.402100,0.701900
19,14,14,253815,0.336800,0.721800
20,13,16,249175,0.330600,0.741200
21,7,9,216286,0.287000,0.758100
22,17,11,215248,0.285600,0.774900
23,15,13,192618,0.255600,0.789900
24,10,11,187460,0.248700,0.804500
25,16,11,178490,0.236800,0.818500
26,1,7,178373,0.236700,0.832400
27,6,3,175805,0.233300,0.846100
28,9,2,139948,0.185700,0.857000
29,10,15,124589,0.165300,0.866800
30,3,1,120338,0.159700,0.876200
31,7,6,118466,0.157200,0.885400
32,16,15,116756,0.154900,0.894500
33,4,4,112909,0.149800,0.903300
34,14,13,98824,0.131100,0.911000
35,14,11,98166,0.130200,0.918700
36,5,5,92687,0.123000,0.925900
37,2,7,89169,0.118300,0.932900
38,17,10,88080,0.116900,0.939800
39,12,16,72879,0.096700,0.945500
40,10,9,70754,0.093900,0.951000
41,6,7,67433,0.089500,0.956200
42,8,3,63026,0.083600,0.961200
43,7,8,62923,0.083500,0.966100
44,15,15,62919,0.083500,0.971000
45,9,7,62067,0.082400,0.975800
46,8,11,60633,0.080400,0.980600
47,13,17,43648,0.057900,0.984000
48,6,10,42781,0.056800,0.987300
49,9,4,37529,0.049800,0.990200
50,3,4,26573,0.035300,0.992300
51,5,17,23828,0.031600,0.994200
52,8,9,14840,0.019700,0.995300
53,6,11,13918,0.018500,0.996400
54,13,8,8407,0.011200,0.997100
55,10,10,7069,0.009400,0.997600
56,4,2,6719,0.008900,0.998100
57,11,17,5867,0.007800,0.998600
58,5,16,4332,0.005700,0.998900
59,2,4,4228,0.005600,0.999300
60,13,13,2680,0.003600,0.999500
61,2,6,1994,0.002600,0.999600
62,11,6,1901,0.002500,0.999800
63,13,14,1470,0.002000,0.999900
64,1,5,1258,0.001700,1.000000
65,15,12,0,0.000000,1.000000
