REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,4,3,612705,0.800800,0.057200
2,6,14,584319,0.763700,0.111700
3,1,4,572568,0.748300,0.165200
4,11,7,469612,0.613800,0.209000
5,2,11,467628,0.611200,0.252700
6,5,1,458192,0.598800,0.295500
7,10,8,425945,0.556700,0.335200
8,9,12,410376,0.536300,0.373500
9,12,13,409778,0.535600,0.411800
10,8,5,364772,0.476700,0.445800
11,14,10,343411,0.448800,0.477900
12,7,6,336960,0.440400,0.509400
13,13,6,324383,0.424000,0.539600
14,5,2,309359,0.404300,0.568500
15,3,1,305419,0.399200,0.597000
16,7,5,296560,0.387600,0.624700
17,14,9,293835,0.384000,0.652200
18,12,12,267002,0.349000,0.677100
19,13,13,258188,0.337400,0.701200
20,2,10,253270,0.331000,0.724800
21,3,2,253075,0.330800,0.748500
22,3,9,203674,0.266200,0.767500
23,10,9,202058,0.264100,0.786300
24,8,8,200470,0.262000,0.805000
25,13,14,181372,0.237000,0.822000
26,9,11,177664,0.232200,0.838600
27,9,10,168606,0.220400,0.854300
28,4,2,150799,0.197100,0.868400
29,7,3,130443,0.170500,0.880600
30,10,7,115245,0.150600,0.891300
31,6,11,115026,0.150300,0.902100
32,8,4,105211,0.137500,0.911900
33,1,5,104258,0.136300,0.921600
34,11,6,102040,0.133400,0.931100
35,11,13,97329,0.127200,0.940200
36,11,8,94891,0.124000,0.949100
37,8,7,91560,0.119700,0.957600
38,12,7,89358,0.116800,0.966000
39,14,4,87148,0.113900,0.974100
40,6,12,65722,0.085900,0.980200
41,1,2,51165,0.066900,0.985000
42,2,9,43526,0.056900,0.989100
43,14,8,43076,0.056300,0.993100
44,1,3,22033,0.028800,0.995200
45,10,12,21250,0.027800,0.997100
46,1,9,13823,0.018100,0.998400
47,9,9,8144,0.010600,0.999200
48,3,11,4828,0.006300,0.999600
49,8,6,2059,0.002700,0.999800
50,1,1,1773,0.002300,1.000000
